Timestamp, Signal Quality, Attention, Meditation, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, High Gamma
1387660029866, 200,0,0,1991355,132155,79032,4107,52884,89918,22361,11870
1387660030861, 200,0,0,34214,23141,19222,10558,9585,33702,2435,2100
1387660031848, 200,0,0,774551,49197,32056,27481,25693,27561,27775,31919
1387660032840, 200,0,0,768312,16217,11781,10793,4506,28200,2216,2027
1387660033831, 200,0,0,1333342,17749,6096,5896,5799,15145,3051,1326
1387660034838, 200,0,0,1150060,307142,294370,486953,198247,165926,281499,113687
1387660035829, 200,0,0,217019,76249,16299,17188,7526,26545,3232,2892
1387660036836, 200,0,0,2259464,397362,344459,1248139,522032,229875,372237,375653
1387660037828, 200,0,0,147475,88470,14283,22840,21631,29232,18918,9931
1387660038819, 200,0,0,1006367,289484,73910,67866,137691,31422,24929,13518
1387660039810, 200,0,0,125992,40468,43472,49570,68987,27116,19063,21475
1387660040822, 200,0,0,215995,577386,30638,243249,164359,83418,335317,273847
1387660041809, 200,0,0,725703,373895,427445,51290,98380,199600,132813,239408
1387660042816, 200,0,0,975578,297992,33348,136546,224251,370150,127026,112296
1387660043807, 51,0,0,532413,105892,14253,119909,104596,81481,91687,91638
1387660044784, 51,0,0,314815,67016,6171,29173,35079,40964,11024,9855
1387660045789, 51,0,0,923978,160200,123546,104043,164659,204209,62359,48998
1387660046780, 51,0,0,305615,58501,138551,51316,79657,78392,59273,130071
1387660047771, 80,0,0,839714,30798,9466,6577,2521,1736,632,361
