Anemia,Fatigue (feeling tired or weak)
Anemia,Shortness of breath
Anemia,Dizziness
Anemia,Headache
Anemia,Coldness in the hands and feet
Anemia,Pale skin
Anemia,Chest pain
Anemia,Feeling grumpy
Anemia,Problems concentrating or thinking
Anemia,Blue color to the whites of the eyes
Anemia,Brittle nails
Anemia,Light-headedness when you stand up
Anemia,Sore tongue
Urinary Tract Infection,Pain or burning when urinating
Urinary Tract Infection,"Urinate often, but not much urine comes out"
Urinary Tract Infection,Belly feels tender or heavy
Urinary Tract Infection,Urine is cloudy or smells bad
Urinary Tract Infection,Pain in kidneys (on one side of your back under your ribs)
Urinary Tract Infection,Fever and chills
Urinary Tract Infection,Nausea and vomiting
Urinary Tract Infection,Pressure or cramping in the lower abdomen or back
Urinary Tract Infection,Chills and shaking or night sweats
Urinary Tract Infection,Fatigue and a general ill feeling
Urinary Tract Infection,Fever above 101 degrees Fahrenheit
Urinary Tract Infection,"Pain in the side, back, or groin"
Urinary Tract Infection,"Flushed, warm, or reddened skin"
Urinary Tract Infection,Mental changes or confusion
Diabetes,Increased thirst
Diabetes,Increased hunger (especially after eating)
Diabetes,Dry mouth
Diabetes,Frequent urination
Diabetes,Unexplained weight loss (even though you are eating and feel hungry)
Diabetes,"Fatigue (weak, tired feeling)"
Diabetes,Blurred vision
Diabetes,Headaches
Diabetes,Loss of consciousness (rare)
Atrial Fibrillation,"Palpitations (feelings that your heart is skipping a beat, fluttering, or beating too hard or fast)"
Atrial Fibrillation,Shortness of breath
Atrial Fibrillation,Weakness or problems exercising
Atrial Fibrillation,Chest pain
Atrial Fibrillation,Dizziness or fainting
Atrial Fibrillation,Fatigue (tiredness)
Atrial Fibrillation,Confusion
Stroke,"SUDDEN numbness or weakness of face, arm or leg - (especially on one side of the body)"
Stroke,"SUDDEN confusion, trouble speaking or understanding."
Stroke,SUDDEN trouble seeing in one or both eyes.
Stroke,"SUDDEN trouble walking, dizziness, loss of balance or coordination."
Stroke,SUDDEN severe headache with no known cause.
Sleep Apnea,Daytime sleepiness or fatigue
Sleep Apnea,Dry mouth or sore throat upon awakening
Sleep Apnea,Headaches in the morning
Sleep Apnea,"Trouble concentrating, forgetfulness, depression, or irritability"
Sleep Apnea,Night sweats
